City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Lachen,CH,2022-04-03 23:49:46,47.1915,8.8562,34.18,94,56,3.6
143,Ponta Do Sol,PT,2022-04-03 23:49:42,32.6667,-17.1,61.43,71,100,14.2
144,Ostrovnoy,RU,2022-04-03 23:49:47,68.0531,39.5131,12.51,96,97,5.39
145,Gladstone,AU,2022-04-03 23:49:48,-23.85,151.25,80.53,61,75,11.5
146,Buraydah,SA,2022-04-03 23:49:49,26.326,43.975,70.25,12,68,8.5
147,Kaitangata,NZ,2022-04-03 23:49:49,-46.2817,169.8464,61.86,58,79,1.41
148,Bambous Virieux,MU,2022-04-03 23:50:11,-20.3428,57.7575,79.21,83,40,11.5
149,Sarakhs,IR,2022-04-03 23:50:11,36.5449,61.1577,69.57,17,13,6.13
150,Axim,GH,2022-04-03 23:50:12,4.8699,-2.2405,81.84,86,100,9.89
151,Orlik,RU,2022-04-03 23:50:12,52.5178,99.825,19.96,93,100,7.49
152,Alakurtti,RU,2022-04-03 23:50:13,66.9672,30.3491,20.34,96,99,2.86
153,Faanui,PF,2022-04-03 23:50:13,-16.4833,-151.75,82.26,69,54,11.14
154,Bogorodskoye,RU,2022-04-03 23:50:15,56.55,37.8833,12.0,97,98,2.55
155,Saint-Philippe,RE,2022-04-03 23:50:15,-21.3585,55.7679,74.79,88,98,12.21
156,Severo-Kurilsk,RU,2022-04-03 23:50:16,50.6789,156.125,34.03,90,23,9.98
157,Longyearbyen,SJ,2022-04-03 23:50:16,78.2186,15.6401,8.44,52,20,21.85
158,Villazon,BO,2022-04-03 23:50:17,-22.0866,-65.5942,56.93,18,34,4.72
159,Arroyo,ES,2022-04-03 23:50:17,41.6096,-4.7969,32.59,69,0,17.27
160,Prince Rupert,CA,2022-04-03 23:50:17,54.3161,-130.3201,42.89,81,100,26.46
161,Mapiripan,CO,2022-04-03 23:50:18,2.8892,-72.1256,75.06,91,86,4.47
162,Gouyave,GD,2022-04-03 23:50:18,12.1646,-61.7296,77.77,73,20,16.11
163,Ukiah,US,2022-04-03 23:50:03,39.1502,-123.2078,70.84,36,0,12.66
164,Dhidhdhoo,MV,2022-04-03 23:49:03,6.8833,73.1,82.54,72,6,3.2
165,Hurzuf,UA,2022-04-03 23:50:20,44.55,34.2833,46.69,75,22,12.64
166,Maceio,BR,2022-04-03 23:50:20,-9.6658,-35.7353,74.64,88,40,3.44
167,Cayenne,GF,2022-04-03 23:46:39,4.9333,-52.3333,80.1,1,20,5.75
168,Nome,US,2022-04-03 23:50:21,64.5011,-165.4064,17.67,49,0,9.22
169,Chuy,UY,2022-04-03 23:50:21,-33.6971,-53.4616,63.45,93,83,4.68
170,Chumphon,TH,2022-04-03 23:50:22,10.3333,98.8333,69.82,97,98,3.85
171,Nisia Floresta,BR,2022-04-03 23:50:22,-6.0911,-35.2086,76.01,90,75,5.17
172,Okhotsk,RU,2022-04-03 23:50:23,59.3833,143.3,23.04,87,100,13.78
173,La Paz,BO,2022-04-03 23:50:23,-16.5,-68.15,51.78,87,75,8.05
174,Shenjiamen,CN,2022-04-03 23:50:24,29.9576,122.298,53.13,59,21,7.47
175,Kourou,GF,2022-04-03 23:50:24,5.1552,-52.6478,80.11,91,92,8.1
176,Hachinohe,JP,2022-04-03 23:50:25,40.5,141.5,50.83,66,67,3.15
177,Argentan,FR,2022-04-03 23:50:25,48.75,-0.0167,28.26,83,26,2.64
178,Sturgeon Falls,CA,2022-04-03 23:50:25,46.3646,-79.9326,40.96,92,87,3.87
179,Cabo San Lucas,MX,2022-04-03 23:46:00,22.8909,-109.9124,76.6,70,50,14.54
180,Lagoa,PT,2022-04-03 23:50:26,39.05,-27.9833,58.78,76,28,15.01
181,Nanakuli,US,2022-04-03 23:51:27,21.3906,-158.1547,82.35,61,100,16.11
182,Portland,US,2022-04-03 23:51:27,45.5234,-122.6762,58.28,65,100,13.8
183,Makakilo City,US,2022-04-03 23:51:27,21.3469,-158.0858,80.92,60,100,21.85
184,New Ulm,US,2022-04-03 23:48:54,44.3125,-94.4605,45.43,77,100,10.36
185,Gidole,ET,2022-04-03 23:51:28,5.65,37.3667,59.29,51,39,3.62
186,Yakeshi,CN,2022-04-03 23:51:29,49.2833,120.7333,28.06,61,84,5.75
187,Grand Gaube,MU,2022-04-03 23:51:29,-20.0064,57.6608,79.38,81,28,8.99
188,Panorama,GR,2022-04-03 23:51:29,40.5878,23.0315,49.46,56,61,1.99
189,East London,ZA,2022-04-03 23:48:04,-33.0153,27.9116,69.13,88,47,10.04
190,Hasaki,JP,2022-04-03 23:51:30,35.7333,140.8333,52.2,84,99,22.17
191,Uusikaupunki,FI,2022-04-03 23:51:31,60.8004,21.4084,33.96,80,100,8.23
192,Aksarka,RU,2022-04-03 23:51:31,66.5606,67.7975,16.72,93,100,18.45
193,Hamilton,US,2022-04-03 23:47:51,39.1834,-84.5333,53.56,48,75,3.44
194,Bjornevatn,NO,2022-04-03 23:51:32,69.6672,29.9847,24.42,93,20,4.61
195,Petrozavodsk,RU,2022-04-03 23:51:32,61.7849,34.3469,24.26,74,69,6.71
196,Nioro,GM,2022-04-03 23:51:33,13.35,-15.75,75.49,42,55,12.19
197,Revda,RU,2022-04-03 23:51:33,56.801,59.9303,41.22,93,90,12.08
198,Saint-Pierre,RE,2022-04-03 23:51:34,-21.3393,55.4781,74.88,90,100,4.61
199,Payo,ID,2022-04-03 23:51:34,-3.7508,103.6372,73.11,88,91,1.41
200,Matay,EG,2022-04-03 23:51:35,28.419,30.7792,68.79,22,13,11.07
201,Amberley,US,2022-04-03 23:51:35,39.2048,-84.428,53.11,49,75,3.44
202,Tiksi,RU,2022-04-03 23:51:36,71.6872,128.8694,5.92,95,100,8.01
203,Waipawa,NZ,2022-04-03 23:51:36,-41.4122,175.5153,64.36,55,37,3.71
204,Gwanda,ZW,2022-04-03 23:51:37,-20.9333,29.0,72.54,57,74,5.14
205,Kropotkin,RU,2022-04-03 23:51:37,45.4375,40.5756,47.25,81,83,20.27
206,Ilulissat,GL,2022-04-03 23:51:38,69.2167,-51.1,18.64,94,18,7.34
207,Porto Novo,BJ,2022-04-03 23:51:38,6.4965,2.6036,84.02,82,94,8.97
208,Hofn,IS,2022-04-03 23:51:39,64.2539,-15.2082,34.93,77,100,17.22
209,Sao Joao Da Barra,BR,2022-04-03 23:51:39,-21.6403,-41.0511,75.24,90,7,6.33
210,Iqaluit,CA,2022-04-03 23:51:39,63.7506,-68.5145,22.73,93,75,2.3
211,Srednekolymsk,RU,2022-04-03 23:51:40,67.45,153.6833,1.54,90,93,4.12
212,Airai,TL,2022-04-03 23:51:41,-8.9266,125.4092,67.69,60,39,1.77
213,Katsuura,JP,2022-04-03 23:51:41,35.1333,140.3,50.02,89,100,16.35
214,San Mateo Ixtatan,GT,2022-04-03 23:51:41,15.8319,-91.4781,56.41,74,72,5.84
215,Boende,CD,2022-04-03 23:51:42,-0.2167,20.8667,71.76,84,100,2.62
216,Gatesville,US,2022-04-03 23:51:42,31.4352,-97.7439,84.31,38,0,6.91
217,Nouadhibou,MR,2022-04-03 23:51:43,20.931,-17.0347,64.38,94,0,8.05
218,Tokat,TR,2022-04-03 23:51:35,40.4167,36.5833,40.15,63,99,2.75
219,Port Elizabeth,ZA,2022-04-03 23:51:43,-33.918,25.5701,62.89,91,0,4.61
220,San Cristobal,VE,2022-04-03 23:51:44,7.7669,-72.225,77.18,77,44,3.22
221,Etalle,BE,2022-04-03 23:51:44,49.6764,5.602,29.91,82,23,2.68
222,Sayyan,YE,2022-04-03 23:51:45,15.1718,44.3244,56.16,20,55,4.83
223,Provideniya,RU,2022-04-03 23:51:45,64.3833,-173.3,12.36,62,0,18.01
224,Kathua,IN,2022-04-03 23:51:46,32.3667,75.5167,70.3,17,1,4.54
225,Hastings,GB,2022-04-03 23:51:46,50.8552,0.5729,43.29,70,86,14.94
226,Itarema,BR,2022-04-03 23:52:23,-2.9248,-39.9167,77.09,91,53,8.97
227,Arlit,NE,2022-04-03 23:52:47,18.7369,7.3853,85.14,5,68,8.99
228,Zhanaozen,KZ,2022-04-03 23:52:47,43.3,52.8,54.79,62,76,9.84
229,Millau,FR,2022-04-03 23:52:48,44.0833,2.9167,32.13,95,45,3.38
230,Vestmannaeyjar,IS,2022-04-03 23:52:48,63.4427,-20.2734,42.96,81,100,12.28
231,Saldanha,ZA,2022-04-03 23:52:49,-33.0117,17.9442,59.7,89,0,9.04
232,Whitehorse,CA,2022-04-03 23:50:52,60.7161,-135.0538,38.01,53,75,17.27
233,Ustrzyki Dolne,PL,2022-04-03 23:52:49,49.4304,22.5938,24.98,100,77,3.85
234,Pacific Grove,US,2022-04-03 23:52:50,36.6177,-121.9166,71.22,68,0,13.8
235,Maltahohe,NA,2022-04-03 23:52:50,-24.8333,16.9833,57.24,36,0,10.4
236,Labuhan,ID,2022-04-03 23:52:51,-6.8844,112.2051,77.52,85,89,6.51
237,Santa Cruz De Tenerife,ES,2022-04-03 23:51:38,28.4682,-16.2546,67.64,83,75,18.41
